"name","lng","lat"
"100 Independence Cir,Chico,Butte","-121.873465206952,","39.772548235146"
"1000 Newbury Rd , Newbury Park","-118.902914856415,","34.1826041709"
"1000 Skyline Blvd,Avenal,Kings","-120.122421938624,","36.007393983984"
"1001 E Grand Ave,Escondido,San Diego","-117.068389018588,","33.12626353323"
"1001 Main St,Delano,Kern","-119.245718422592,","35.769118767372"
"101 N Palm St,Woodlake,Tulare","-119.100199651407,","36.413962244139"
"1030 Nevin Ave,Richmond,Contra Costa","-122.359665789383,","37.936773742411"
"1031 Waterloo Rd,Stockton,San Joaquin","-121.273180943999,","37.96628519447"
"10408 Vacco St,South El Monte,Los Angeles","-118.045386682233,","34.047295584803"
"10418 Valley Blvd,El Monte,Los Angeles","-118.045955613017,","34.076466907029"
"10561 Merritt St,Castroville,Monterey","-121.759585594572,","36.76694031711"
"1066 S White Rd,San Jose,Santa Clara","-121.820587377314,","37.35784225132"
"10700 Macarthur Blvd,Oakland,Alameda","-122.150457076285,","37.74182117323"
"1080 Emeline Ave,Santa Cruz,Santa Cruz","-122.017543101048,","36.992089773841"
"1100 Trancas St,Napa,Napa","-122.296894695299,","38.323422831154"
"1107 W Poplar Ave,Porterville,Tulare","-119.049829634359,","36.051228685852"
"1111 W Chase Ave,El Cajon,San Diego","-116.976308947431,","32.781461975499"
"1114 6th St,Modesto,Stanislaus","-121.005381698447,","37.638821401624"
"1119 E Monte Vista Ave,Vacaville,Solano","-121.976806195917,","38.360177418395"
"1121 E Washington Ave,Escondido,San Diego","-117.069522182976,","33.132111217833"
"1121 Hammond St,Modesto,Stanislaus","-121.018678710339,","37.615244106448"
"11336 Bartlett Ave,Adelanto,San Bernardino","-117.416901645257,","34.579247935299"
"1136 D Ave,National City,San Diego","-117.101744892497,","32.674073431103"
"1140 Main St,Livingston,Merced","-120.72347128198,","37.379820525048"
"1141 Olive Ave,Turlock,Stanislaus","-120.839884710484,","37.503633289922"
"115-A Coral St,Santa Cruz,Santa Cruz","-122.030281861314,","36.985195365763"
"1155 W Central Ave,Santa Ana,Orange","-117.883911474237,","33.712614990016"
"1187 E S St,Orland,Glenn","-122.167193655817,","39.736060458325"
"12520 Palm Dr,Desert Hot Springs,Riverside","-116.501282769142,","33.957601872759"
"1200 Maricopa Hwy,Ojai,Ventura","-119.262678392168,","34.442096778724"
"1200 W Main St,Turlock,Stanislaus","-120.862679268163,","37.492677671999"
"12130 Paramount Blvd,Downey,Los Angeles","-118.146503839267,","33.931113019127"
"12157 Victory Blvd,North Hollywood,Los Angeles","-118.399056450864,","34.186732433749"
"122 E San Antonio Dr,King City,Monterey","-121.123496054809,","36.223097054369"
"1222 Pine St,St. Helena,Napa","-122.472177260591,","38.506077440814"
"1227 W 17th St,Santa Ana,Orange","-117.884021921376,","33.7603304573891"
"123 S Alvarado St,Los Angeles,Los Angeles","-118.270647459105,","34.066258765717"
"1231 Plumas St,Yuba City,Sutter","-121.617499651982,","39.147920368281"
"12360 Firestone Blvd,Norwalk,Los Angeles","-118.071822441611,","33.907209860106"
"125 W Thousand Oaks Blvd,Thousand Oaks,Ventura","-118.880220276192,","34.178488935363"
"1250 6th Ave,San Diego,San Diego","-117.159354016168,","32.718343395797"
"12540 Pierce St,Pacoima,Los Angeles","-118.405650468587,","34.272732589461"
"12586 Avenue 408,Orosi,Tulare","-119.291538127952,","36.53036371463"
"12619 Bentley St,Waterford,Stanislaus","-120.761338666009,","37.640735501928"
"127 W El Portal Dr,Merced,Merced","-120.469749324211,","37.326748423171"
"12751 Harbor Blvd,Garden Grove,Orange","-117.916201637776,","33.776371546636"
"1289 S Marina Dr,Salton City,Imperial","-115.969796368022,","33.275788246304"
"1300 N Ventura Rd,Oxnard,Ventura","-119.194554855534,","34.214637888478"
"1300 N Vermont Ave,Los Angeles,Los Angeles","-118.291679612177,","34.095607437635"
"1300 S Sunset Blvd,West Covina,Los Angeles","-118.250654566626,","34.071390892647"
"1301 4th St,Napa,Napa","-122.286056114593,","38.295878566246"
"1305 Concord St,Los Angeles,Los Angeles","-118.208091428479,","34.020890400456"
"131 W A St,Dixon,Solano","-121.822921096602,","38.445486596245"
"13161 Jefferson St,LE GRAND,Merced","-120.250814943303,","37.229436735916"
"133 W Main St,El Cajon,San Diego","-116.962771412449,","32.794869146943"
"1330 Cardinal St,Los Angeles,Los Angeles","-118.2305198757,","34.063053241469"
"1333 Meridian Ave,San Jose,Santa Clara","-121.913685443235,","37.301319297953"
"13500 Airport Rd,Boonville,Mendocino","-123.37925193282,","39.0132286182141"
"1381 University St,Healdsburg,Sonoma","-122.863805751966,","38.627476570308"
"1385 Mission St,San Miguel,San Luis Obispo","-120.69624318006,","35.752541062783"
"140 C St,Lemoore,Kings","-119.782439518832,","36.3017619741813"
"140 Elm St,San Diego,San Diego","-117.163494568438,","32.724115533967"
