Counties,Measure Names,Measure Values
IRP VEHICLES **,Total Vehicles,2252510
STATEWIDE,Total Vehicles,35983261
FEE EXEMPT VEHICLES,Total Vehicles,688450
MISC VEHICLES *,Total Vehicles,153520
OUT OF STATE,Total Vehicles,220754
YUBA,Total Vehicles,79604
YOLO,Total Vehicles,200561
VENTURA,Total Vehicles,817954
TUOLUMNE,Total Vehicles,79707
TULARE,Total Vehicles,432572
TRINITY,Total Vehicles,18335
TEHAMA,Total Vehicles,75540
SUTTER,Total Vehicles,318561
STANISLAUS,Total Vehicles,525394
SONOMA,Total Vehicles,533395
SOLANO,Total Vehicles,422801
SISKIYOU,Total Vehicles,63812
SIERRA,Total Vehicles,5814
SHASTA,Total Vehicles,214801
SANTA CRUZ,Total Vehicles,254587
SANTA CLARA,Total Vehicles,1630589
SANTA BARBARA,Total Vehicles,409793
SAN MATEO,Total Vehicles,694136
SAN LUIS OBISPO,Total Vehicles,315690
SAN JOAQUIN,Total Vehicles,736868
SAN FRANCISCO,Total Vehicles,452526
SAN DIEGO,Total Vehicles,3005355
SAN BERNARDINO,Total Vehicles,1968652
SAN BENITO,Total Vehicles,74683
SACRAMENTO,Total Vehicles,1354360
RIVERSIDE,Total Vehicles,2202397
PLUMAS,Total Vehicles,32625
PLACER,Total Vehicles,464372
ORANGE,Total Vehicles,2952614
NEVADA,Total Vehicles,129461
NAPA,Total Vehicles,143859
MONTEREY,Total Vehicles,410132
MONO,Total Vehicles,17269
MODOC,Total Vehicles,13801
MERCED,Total Vehicles,255793
MENDOCINO,Total Vehicles,112807
MARIPOSA,Total Vehicles,28201
MARIN,Total Vehicles,237331
MADERA,Total Vehicles,159760
LOS ANGELES,Total Vehicles,7738193
LASSEN,Total Vehicles,35214
LAKE,Total Vehicles,89801
KINGS,Total Vehicles,120286
KERN,Total Vehicles,788251
INYO,Total Vehicles,29261
IMPERIAL,Total Vehicles,221410
HUMBOLDT,Total Vehicles,145103
GLENN,Total Vehicles,38277
FRESNO,Total Vehicles,884877
EL DORADO,Total Vehicles,237234
DEL NORTE,Total Vehicles,27738
CONTRA COSTA,Total Vehicles,1043851
COLUSA,Total Vehicles,30715
CALAVERAS,Total Vehicles,80603
BUTTE,Total Vehicles,217677
AMADOR,Total Vehicles,61532
ALPINE,Total Vehicles,2314
ALAMEDA,Total Vehicles,1281688
IRP VEHICLES **,Motorcycles,
STATEWIDE,Motorcycles,801065
FEE EXEMPT VEHICLES,Motorcycles,13092
MISC VEHICLES *,Motorcycles,
OUT OF STATE,Motorcycles,5224
YUBA,Motorcycles,2540
YOLO,Motorcycles,4002
VENTURA,Motorcycles,22745
TUOLUMNE,Motorcycles,2912
TULARE,Motorcycles,8346
TRINITY,Motorcycles,567
TEHAMA,Motorcycles,1951
SUTTER,Motorcycles,2346
STANISLAUS,Motorcycles,12043
SONOMA,Motorcycles,15739
SOLANO,Motorcycles,12275
SISKIYOU,Motorcycles,1911
SIERRA,Motorcycles,218
SHASTA,Motorcycles,7271
SANTA CRUZ,Motorcycles,9762
SANTA CLARA,Motorcycles,33361
SANTA BARBARA,Motorcycles,11566
SAN MATEO,Motorcycles,14969
SAN LUIS OBISPO,Motorcycles,10388
SAN JOAQUIN,Motorcycles,15557
SAN FRANCISCO,Motorcycles,16060
SAN DIEGO,Motorcycles,82352
SAN BERNARDINO,Motorcycles,41840
SAN BENITO,Motorcycles,2530
SACRAMENTO,Motorcycles,30663
RIVERSIDE,Motorcycles,48503
PLUMAS,Motorcycles,997
PLACER,Motorcycles,13624
ORANGE,Motorcycles,55570
NEVADA,Motorcycles,5176
NAPA,Motorcycles,3706
MONTEREY,Motorcycles,7845
MONO,Motorcycles,645
MODOC,Motorcycles,230
MERCED,Motorcycles,4894
MENDOCINO,Motorcycles,3272
MARIPOSA,Motorcycles,1063
MARIN,Motorcycles,6180
MADERA,Motorcycles,3785
LOS ANGELES,Motorcycles,139137
LASSEN,Motorcycles,934
LAKE,Motorcycles,2938
KINGS,Motorcycles,2630
