"","Counties","Autos"
"1","ALAMEDA","1,038,025"
"2","ALPINE","1,192"
"3","AMADOR","31,068"
"4","BUTTE","116,297"
"5","CALAVERAS","38,707"
"6","COLUSA","13,639"
"7","CONTRA COSTA","810,019"
"8","DEL NORTE","14,310"
"9","EL DORADO","137,481"
"10","FRESNO","563,083"
"11","GLENN","17,072"
"12","HUMBOLDT","77,519"
"13","IMPERIAL","137,958"
"14","INYO","14,453"
"15","KERN","470,047"
"16","KINGS","73,691"
"17","LAKE","48,155"
"18","LASSEN","15,022"
"19","LOS ANGELES","6,235,778"
"20","MADERA","89,346"
"21","MARIN","189,072"
"22","MARIPOSA","13,067"
"23","MENDOCINO","57,540"
"24","MERCED","158,619"
"25","MODOC","5,087"
"26","MONO","8,759"
"27","MONTEREY","276,409"
"28","NAPA","94,239"
"29","NEVADA","69,875"
"30","ORANGE","2,363,684"
"31","PLACER","309,200"
"32","PLUMAS","13,818"
"33","RIVERSIDE","1,548,566"
"34","SACRAMENTO","993,295"
"35","SAN BENITO","45,374"
"36","SAN BERNARDINO","1,362,756"
"37","SAN DIEGO","2,253,084"
"38","SAN FRANCISCO","386,865"
"39","SAN JOAQUIN","481,070"
"40","SAN LUIS OBISPO","190,185"
"41","SAN MATEO","579,535"
"42","SANTA BARBARA","279,865"
"43","SANTA CLARA","1,349,372"
"44","SANTA CRUZ","172,771"
"45","SHASTA","107,069"
"46","SIERRA","2,542"
"47","SISKIYOU","28,746"
"48","SOLANO","296,957"
"49","SONOMA","342,494"
"50","STANISLAUS","326,065"
"51","SUTTER","58,030"
"52","TEHAMA","34,177"
"53","TRINITY","7,685"
"54","TULARE","254,128"
"55","TUOLUMNE","40,141"
"56","VENTURA","598,291"
"57","YOLO","124,480"
"58","YUBA","45,961"
