street_address,city,county,site_type
100 Independence Cir,Chico,Butte,FQHC
1000 Newbury Rd,Newbury,Ventura,FQHC
1000 Skyline Blvd,Avenal,Kings,FQHC
1001 E Grand Ave,Escondido,San Diego,FQHC
1001 Main St,Delano,Kern,FQHC
101 N Palm St,Woodlake,Tulare,FQHC
1030 Nevin Ave,Richmond,Contra Costa,FQHC
1031 Waterloo Rd,Stockton,San Joaquin,FQHC
10408 Vacco St,South El Monte,Los Angeles,FQHC
10418 Valley Blvd,El Monte,Los Angeles,FQHC
10561 Merritt St,Castroville,Monterey,FQHC
1066 S White Rd,San Jose,Santa Clara,FQHC
10700 Macarthur Blvd,Oakland,Alameda,FQHC
1080 Emeline Ave,Santa Cruz,Santa Cruz,FQHC
1100 Trancas St,Napa,Napa,FQHC
1107 W Poplar Ave,Porterville,Tulare,FQHC
1111 W Chase Ave,El Cajon,San Diego,FQHC
1114 6th St,Modesto,Stanislaus,FQHC
1119 E Monte Vista Ave,Vacaville,Solano,FQHC
1121 E Washington Ave,Escondido,San Diego,FQHC
1121 Hammond St,Modesto,Stanislaus,FQHC
11336 Bartlett Ave,Adelanto,San Bernardino,FQHC
1136 D Ave,National City,San Diego,FQHC
1140 Main St,Livingston,Merced,FQHC
1141 Olive Ave,Turlock,Stanislaus,FQHC
115-A Coral St,Santa Cruz,Santa Cruz,FQHC
1155 W Central Ave,Santa Ana,Orange,FQHC
1187 E S St,Orland,Glenn,FQHC
12-520 Palm Dr,Desert Hot Springs,Riverside,FQHC
1200 Maricopa Hwy,Ojai,Ventura,FQHC
1200 W Main St,Turlock,Stanislaus,FQHC
12130 Paramount Blvd,Downey,Los Angeles,FQHC
12157 Victory Blvd,North Hollywood,Los Angeles,FQHC
122 E San Antonio Dr,King City,Monterey,FQHC
1222 Pine St,St. Helena,Napa,FQHC
1227 W 17th St,Santa Ana,Orange,FQHC
123 S Alvarado St,Los Angeles,Los Angeles,FQHC
1231 Plumas St,Yuba City,Sutter,FQHC
12360 Firestone Blvd,Norwalk,Los Angeles,FQHC
125 W Thousand Oaks Blvd,Thousand Oaks,Ventura,FQHC
1250 6th Ave,San Diego,San Diego,FQHC
12540 Pierce St,Pacoima,Los Angeles,FQHC
12586 Avenue 408,Orosi,Tulare,FQHC
12619 Bentley St,Waterford,Stanislaus,FQHC
127 W El Portal Dr,Merced,Merced,FQHC
12751 Harbor Blvd,Garden Grove,Orange,FQHC
1289 S Marina Dr,Salton City,Imperial,FQHC
1300 N Ventura Rd,Oxnard,Ventura,FQHC
1300 N Vermont Ave,Los Angeles,Los Angeles,FQHC
1300 S Sunset Blvd,West Covina,Los Angeles,FQHC
1301 4th St,Napa,Napa,FQHC
1305 Concord St,Los Angeles,Los Angeles,FQHC
131 W A St,Dixon,Solano,FQHC
13161 Jefferson St,LE GRAND,Merced,FQHC
133 W Main St,El Cajon,San Diego,FQHC
1330 Cardinal St,Los Angeles,Los Angeles,FQHC
1333 Meridian Ave,San Jose,Santa Clara,FQHC
13500 Airport Rd,Boonville,Mendocino,FQHC
1381 University St,Healdsburg,Sonoma,FQHC
1385 Mission St,San Miguel,San Luis Obispo,FQHC
140 C St,Lemoore,Kings,FQHC
140 Elm St,San Diego,San Diego,FQHC
1400 N Main St,Santa Ana,Orange,FQHC
1401 S Grand Ave,Los Angeles,Los Angeles,FQHC
1405 California Ave,Dos Palos,Merced,FQHC
1411 E 31st St,Oakland,Alameda,FQHC
1418 E Main St,Santa Maria,Santa Barbara,FQHC
1424 Crusado Ln,Los Angeles,Los Angeles,FQHC
1424 Madera Blvd,Simi Valley,Ventura,FQHC
1430 Freedom Blvd,Watsonville,Santa Cruz,FQHC
145 N Clark St,Fresno,Fresno,FQHC
150 Tejas Pl,Nipomo,San Luis Obispo,FQHC
1510 Florida Ave,Modesto,Stanislaus,FQHC
1515 Fruitvale Ave,Oakland,Alameda,FQHC
1540 Florida Ave,Modesto,Stanislaus,FQHC
1551 Bishop St,San Luis Obispo,San Luis Obispo,FQHC
160 Capp St,San Francisco,San Francisco,FQHC
1625 E Fourth St,Los Angeles,Los Angeles,FQHC
1625 Fourth St,Los Angeles,Los Angeles,FQHC
16300 Cloverdale Rd,Happy Valley,Shasta,FQHC
16453 Bear Valley Rd,Hesperia,San Bernardino,FQHC
1646 S Olive St,Los Angeles,Los Angeles,FQHC
1649 W Washington Blvd,Los Angeles,Los Angeles,FQHC
165 S 1st St,El Cajon,San Diego,FQHC
16650 Hwy 76,Pauma Valley,San Diego,FQHC
1695 N Sunrise Way,Palm Springs,Riverside,FQHC
1704 Colorado Blvd,Los Angeles,Los Angeles,FQHC
17050 S Grafton St,Esparto,Yolo,FQHC
1717 Las Vegas St,Modesto,Stanislaus,FQHC
1721 E Hammer Ln,Stockton,San Joaquin,FQHC
1735 Mission St,San Francisco,San Francisco,FQHC
1776 E Century Blvd,Los Angeles,Los Angeles,FQHC
1800 N Lake Ave,Pasadena,Los Angeles,FQHC
1801 E March Ln,Stockton,San Joaquin,FQHC
1809 National Ave,San Diego,San Diego,FQHC
